Risk ID,Risk Title,Risk Description,Category,Department,Risk Owner,Date Identified,Likelihood,Impact,Inherent Risk Score,Inherent Risk Level,Existing Controls,Control Effectiveness Label,Control Effectiveness Score,Residual Risk Score,Residual Risk Level,Treatment Plan,Target Date,Status,KRI,Notes
ERM-0241,Process Failure, Risk related to process failure,Operational Risk,Compliance,Director Finance,11/3/24,4,2,8,Moderate,Standard internal controls in place,Very Strong,0.9,0.8,Low,Accept,11/12/24,Under Review,42 incidents/month, dataset
ERM-0242,Supply Chain Disruption, Risk related to supply chain disruption,Operational Risk,Compliance,Operations Manager,1/30/26,5,2,10,High,Standard internal controls in place,Strong,0.75,2.5,Low,Accept,1/5/24,Under Review,26 incidents/month, dataset
ERM-0243,Human Error, Risk related to human error,Operational Risk,Strategy,Compliance Officer,1/28/26,3,3,9,Moderate,Standard internal controls in place,Moderate,0.5,4.5,Moderate,Accept,3/24/25,Open,23 incidents/month, dataset
ERM-0244,Negative Publicity, Risk related to negative publicity,Reputational Risk,Internal Audit,HR Manager,5/23/26,2,2,4,Low,Standard internal controls in place,Very Strong,0.9,0.4,Low,Transfer,7/13/26,Under Review,48 incidents/month, dataset
ERM-0245,Exchange Rate Volatility, Risk related to exchange rate volatility,Financial Risk,Operations,Operations Manager,7/3/24,4,3,12,High,Standard internal controls in place,Moderate,0.5,6,Moderate,Avoid,9/10/26,Open,32 incidents/month, dataset
ERM-0246,Ransomware Attack, Risk related to ransomware attack,Cyber Risk,Procurement,Head of ICT,2/19/23,4,3,12,High,Standard internal controls in place,Moderate,0.5,6,Moderate,Reduce,6/24/25,Closed,22 incidents/month, dataset
ERM-0247,Negative Publicity, Risk related to negative publicity,Reputational Risk,HR,Head of ICT,1/27/24,3,3,9,Moderate,Standard internal controls in place,Strong,0.75,2.25,Low,Avoid,8/22/23,Mitigated,23 incidents/month, dataset
ERM-0248,AML Violation, Risk related to aml violation,Compliance Risk,Procurement,Head of ICT,11/3/23,4,4,16,Extreme,Standard internal controls in place,Moderate,0.5,8,Moderate,Transfer,11/12/23,Under Review,11 incidents/month, dataset
ERM-0249,System Hacking, Risk related to system hacking,Cyber Risk,Operations,Compliance Officer,7/14/24,4,3,12,High,Standard internal controls in place,Strong,0.75,3,Low,Reduce,10/19/25,Open,10 incidents/month, dataset
ERM-0250,Reporting Non-compliance, Risk related to reporting non-compliance,Compliance Risk,Compliance,Operations Manager,4/23/23,2,3,6,Moderate,Standard internal controls in place,Moderate,0.5,3,Low,Transfer,8/14/26,Mitigated,32 incidents/month, dataset
ERM-0251,Policy Misalignment, Risk related to policy misalignment,Strategic Risk,Operations,Head of ICT,6/6/25,4,5,20,Extreme,Standard internal controls in place,Very Strong,0.9,2,Low,Avoid,8/28/25,Open,30 incidents/month, dataset
ERM-0252,Policy Misalignment, Risk related to policy misalignment,Strategic Risk,Procurement,Compliance Officer,12/13/26,4,5,20,Extreme,Standard internal controls in place,Moderate,0.5,10,High,Transfer,2/15/24,Mitigated,47 incidents/month, dataset
ERM-0253,Credit Default Risk, Risk related to credit default Risk,Financial Risk,Finance,HR Manager,7/15/24,3,5,15,Extreme,Standard internal controls in place,Strong,0.75,3.75,Low,Avoid,9/13/23,Under Review,36 incidents/month, dataset
ERM-0254,Revenue Instability, Risk related to revenue instability,Financial Risk,ICT,Compliance Officer,10/26/26,4,1,4,Low,Standard internal controls in place,Very Strong,0.9,0.4,Low,Transfer,4/5/24,Mitigated,43 incidents/month, dataset
ERM-0255,Negative Publicity, Risk related to negative publicity,Reputational Risk,Finance,Director Finance,9/26/24,4,3,12,High,Standard internal controls in place,Strong,0.75,3,Low,Transfer,6/10/25,Closed,25 incidents/month, dataset
ERM-0256,AML Violation, Risk related to aml violation,Compliance Risk,ICT,Operations Manager,9/16/24,3,3,9,Moderate,Standard internal controls in place,Moderate,0.5,4.5,Moderate,Accept,3/25/26,Under Review,6 incidents/month, dataset
ERM-0257,AML Violation, Risk related to aml violation,Compliance Risk,ICT,Compliance Officer,10/6/26,3,1,3,Low,Standard internal controls in place,Very Strong,0.9,0.3,Low,Reduce,5/16/26,Mitigated,37 incidents/month, dataset
ERM-0258,Ransomware Attack, Risk related to ransomware attack,Cyber Risk,HR,HR Manager,3/24/24,3,3,9,Moderate,Standard internal controls in place,Moderate,0.5,4.5,Moderate,Accept,1/28/26,Under Review,37 incidents/month, dataset
ERM-0259,Revenue Instability, Risk related to revenue instability,Financial Risk,Procurement,Operations Manager,10/30/26,3,3,9,Moderate,Standard internal controls in place,Moderate,0.5,4.5,Moderate,Accept,4/8/25,Open,2 incidents/month, dataset
ERM-0260,Process Failure, Risk related to process failure,Operational Risk,Finance,Internal Auditor,9/23/23,3,4,12,High,Standard internal controls in place,Strong,0.75,3,Low,Transfer,8/6/23,Under Review,19 incidents/month, dataset
ERM-0261,Market Competition, Risk related to market competition,Strategic Risk,Operations,Compliance Officer,2/5/24,4,3,12,High,Standard internal controls in place,Very Strong,0.9,1.2,Low,Accept,4/29/25,Mitigated,20 incidents/month, dataset
ERM-0262,Human Error, Risk related to human error,Operational Risk,HR,Compliance Officer,10/8/25,4,3,12,High,Standard internal controls in place,Very Strong,0.9,1.2,Low,Avoid,8/9/25,Under Review,23 incidents/month, dataset
ERM-0263,Liquidity Shortfall, Risk related to liquidity shortfall,Financial Risk,Internal Audit,Head of ICT,2/19/24,3,5,15,Extreme,Standard internal controls in place,Weak,0.25,11.25,High,Reduce,8/9/26,Closed,31 incidents/month, dataset
ERM-0264,Regulatory Breach, Risk related to regulatory breach,Compliance Risk,HR,Director Finance,4/5/25,1,4,4,Low,Standard internal controls in place,Strong,0.75,1,Low,Accept,12/21/25,Open,46 incidents/month, dataset
ERM-0265,Credit Default Risk, Risk related to credit default Risk,Financial Risk,Strategy,Director Finance,9/2/23,1,3,3,Low,Standard internal controls in place,Very Strong,0.9,0.3,Low,Avoid,7/25/26,Closed,47 incidents/month, dataset
ERM-0266,Supply Chain Disruption, Risk related to supply chain disruption,Operational Risk,Finance,Internal Auditor,12/31/24,2,2,4,Low,Standard internal controls in place,Weak,0.25,3,Low,Reduce,11/2/26,Mitigated,10 incidents/month, dataset
ERM-0267,Data Breach, Risk related to data breach,Cyber Risk,Procurement,Operations Manager,4/27/24,4,1,4,Low,Standard internal controls in place,Weak,0.25,3,Low,Reduce,1/24/24,Open,7 incidents/month, dataset
ERM-0268,Exchange Rate Volatility, Risk related to exchange rate volatility,Financial Risk,Finance,Operations Manager,5/12/25,4,5,20,Extreme,Standard internal controls in place,Strong,0.75,5,Moderate,Transfer,12/28/23,Closed,1 incidents/month, dataset
ERM-0269,System Hacking, Risk related to system hacking,Cyber Risk,Internal Audit,Head of ICT,11/6/25,4,3,12,High,Standard internal controls in place,Moderate,0.5,6,Moderate,Transfer,5/29/26,Closed,36 incidents/month, dataset
ERM-0270,Reporting Non-compliance, Risk related to reporting non-compliance,Compliance Risk,Finance,Internal Auditor,2/28/23,4,1,4,Low,Standard internal controls in place,Moderate,0.5,2,Low,Avoid,8/11/25,Under Review,23 incidents/month, dataset
ERM-0271,Revenue Instability, Risk related to revenue instability,Financial Risk,Operations,Head of ICT,12/31/23,2,3,6,Moderate,Standard internal controls in place,Moderate,0.5,3,Low,Avoid,11/30/25,Open,32 incidents/month, dataset
ERM-0272,Ransomware Attack, Risk related to ransomware attack,Cyber Risk,Compliance,Internal Auditor,1/2/25,3,5,15,Extreme,Standard internal controls in place,Very Strong,0.9,1.5,Low,Reduce,3/1/24,Under Review,12 incidents/month, dataset
ERM-0273,Phishing Attack, Risk related to phishing attack,Cyber Risk,Procurement,Head of ICT,12/5/24,4,3,12,High,Standard internal controls in place,Very Strong,0.9,1.2,Low,Reduce,12/21/26,Mitigated,15 incidents/month, dataset
ERM-0274,Reporting Non-compliance, Risk related to reporting non-compliance,Compliance Risk,Strategy,Internal Auditor,12/8/24,3,4,12,High,Standard internal controls in place,Very Strong,0.9,1.2,Low,Reduce,1/3/24,Under Review,43 incidents/month, dataset
ERM-0275,Liquidity Shortfall, Risk related to liquidity shortfall,Financial Risk,HR,Compliance Officer,10/6/24,3,4,12,High,Standard internal controls in place,Strong,0.75,3,Low,Avoid,12/26/23,Open,39 incidents/month, dataset
ERM-0276,Market Competition, Risk related to market competition,Strategic Risk,Operations,Compliance Officer,10/16/25,2,5,10,High,Standard internal controls in place,Strong,0.75,2.5,Low,Avoid,1/19/23,Under Review,35 incidents/month, dataset
ERM-0277,Policy Misalignment, Risk related to policy misalignment,Strategic Risk,HR,Head of ICT,12/12/25,4,3,12,High,Standard internal controls in place,Strong,0.75,3,Low,Accept,2/6/23,Closed,1 incidents/month, dataset
ERM-0278,Reporting Non-compliance, Risk related to reporting non-compliance,Compliance Risk,Operations,Director Finance,3/15/23,3,3,9,Moderate,Standard internal controls in place,Very Strong,0.9,0.9,Low,Accept,12/16/23,Open,49 incidents/month, dataset
ERM-0279,Service Failure, Risk related to service failure,Reputational Risk,Strategy,Operations Manager,10/16/23,4,4,16,Extreme,Standard internal controls in place,Very Strong,0.9,1.6,Low,Avoid,9/13/25,Under Review,27 incidents/month, dataset
ERM-0280,Process Failure, Risk related to process failure,Operational Risk,Compliance,Internal Auditor,12/8/24,3,4,12,High,Standard internal controls in place,Weak,0.25,9,Moderate,Reduce,9/9/24,Mitigated,6 incidents/month, dataset
ERM-0281,Data Breach, Risk related to data breach,Cyber Risk,Strategy,HR Manager,1/18/26,2,4,8,Moderate,Standard internal controls in place,Strong,0.75,2,Low,Avoid,10/13/23,Closed,33 incidents/month, dataset
ERM-0282,Revenue Instability, Risk related to revenue instability,Financial Risk,ICT,Operations Manager,4/4/23,5,2,10,High,Standard internal controls in place,Strong,0.75,2.5,Low,Accept,7/19/26,Mitigated,47 incidents/month, dataset
ERM-0283,Phishing Attack, Risk related to phishing attack,Cyber Risk,Compliance,HR Manager,7/27/26,2,4,8,Moderate,Standard internal controls in place,Moderate,0.5,4,Low,Transfer,11/11/24,Open,32 incidents/month, dataset
ERM-0284,Regulatory Breach, Risk related to regulatory breach,Compliance Risk,Procurement,Internal Auditor,9/6/26,1,5,5,Moderate,Standard internal controls in place,Very Strong,0.9,0.5,Low,Avoid,3/9/26,Closed,50 incidents/month, dataset
ERM-0285,Revenue Instability, Risk related to revenue instability,Financial Risk,ICT,Compliance Officer,12/15/25,5,3,15,Extreme,Standard internal controls in place,Very Strong,0.9,1.5,Low,Accept,10/4/25,Open,31 incidents/month, dataset
ERM-0286,System Hacking, Risk related to system hacking,Cyber Risk,Procurement,Operations Manager,3/27/24,3,3,9,Moderate,Standard internal controls in place,Weak,0.25,6.75,Moderate,Accept,3/7/24,Open,35 incidents/month, dataset
ERM-0287,Supply Chain Disruption, Risk related to supply chain disruption,Operational Risk,ICT,Director Finance,9/19/26,1,4,4,Low,Standard internal controls in place,Very Strong,0.9,0.4,Low,Reduce,10/20/26,Open,35 incidents/month, dataset
ERM-0288,Reporting Non-compliance, Risk related to reporting non-compliance,Compliance Risk,Compliance,HR Manager,9/14/23,1,5,5,Moderate,Standard internal controls in place,Strong,0.75,1.25,Low,Reduce,11/7/25,Open,7 incidents/month, dataset
ERM-0289,Service Failure, Risk related to service failure,Reputational Risk,HR,Head of ICT,1/22/23,1,5,5,Moderate,Standard internal controls in place,Moderate,0.5,2.5,Low,Avoid,4/15/23,Under Review,39 incidents/month, dataset
ERM-0290,Poor Strategic Decisions, Risk related to poor strategic decisions,Strategic Risk,Finance,Internal Auditor,7/24/26,3,4,12,High,Standard internal controls in place,Weak,0.25,9,Moderate,Transfer,2/16/26,Under Review,8 incidents/month, dataset
ERM-0291,Market Competition, Risk related to market competition,Strategic Risk,Internal Audit,HR Manager,4/24/23,5,3,15,Extreme,Standard internal controls in place,Moderate,0.5,7.5,Moderate,Reduce,1/29/26,Under Review,22 incidents/month, dataset
ERM-0292,Revenue Instability, Risk related to revenue instability,Financial Risk,Finance,Internal Auditor,3/24/24,3,4,12,High,Standard internal controls in place,Strong,0.75,3,Low,Accept,8/1/23,Open,12 incidents/month, dataset
ERM-0293,Exchange Rate Volatility, Risk related to exchange rate volatility,Financial Risk,HR,HR Manager,5/1/25,1,5,5,Moderate,Standard internal controls in place,Moderate,0.5,2.5,Low,Avoid,10/25/26,Open,28 incidents/month, dataset
ERM-0294,Revenue Instability, Risk related to revenue instability,Financial Risk,Compliance,Internal Auditor,10/5/25,3,2,6,Moderate,Standard internal controls in place,Weak,0.25,4.5,Moderate,Transfer,9/20/26,Closed,48 incidents/month, dataset
ERM-0295,Poor Strategic Decisions, Risk related to poor strategic decisions,Strategic Risk,Compliance,Head of ICT,1/14/24,1,4,4,Low,Standard internal controls in place,Very Strong,0.9,0.4,Low,Transfer,3/26/26,Under Review,29 incidents/month, dataset
ERM-0296,Reporting Non-compliance, Risk related to reporting non-compliance,Compliance Risk,Procurement,Operations Manager,12/18/25,3,2,6,Moderate,Standard internal controls in place,Very Strong,0.9,0.6,Low,Reduce,10/29/24,Under Review,50 incidents/month, dataset
ERM-0297,Customer Complaints, Risk related to customer complaints,Reputational Risk,ICT,Head of ICT,5/19/25,4,3,12,High,Standard internal controls in place,Moderate,0.5,6,Moderate,Avoid,4/6/23,Under Review,42 incidents/month, dataset
ERM-0298,Policy Misalignment, Risk related to policy misalignment,Strategic Risk,Compliance,Internal Auditor,12/19/24,3,2,6,Moderate,Standard internal controls in place,Weak,0.25,4.5,Moderate,Avoid,10/26/26,Mitigated,50 incidents/month, dataset
ERM-0299,Human Error, Risk related to human error,Operational Risk,Procurement,HR Manager,11/30/26,3,3,9,Moderate,Standard internal controls in place,Very Strong,0.9,0.9,Low,Reduce,10/30/26,Mitigated,26 incidents/month, dataset
ERM-0300,Data Breach, Risk related to data breach,Cyber Risk,Strategy,Director Finance,10/3/25,1,2,2,Low,Standard internal controls in place,Strong,0.75,0.5,Low,Reduce,11/18/23,Closed,33 incidents/month, dataset
ERM-0301,Poor Strategic Decisions, Risk related to poor strategic decisions,Strategic Risk,ICT,Compliance Officer,4/9/23,4,5,20,Extreme,Standard internal controls in place,Weak,0.25,15,Extreme,Reduce,7/14/26,Mitigated,18 incidents/month, dataset
ERM-0302,Credit Default Risk, Risk related to credit default Risk,Financial Risk,Finance,Internal Auditor,11/1/23,4,2,8,Moderate,Standard internal controls in place,Strong,0.75,2,Low,Reduce,11/1/23,Open,36 incidents/month, dataset
ERM-0303,Human Error, Risk related to human error,Operational Risk,Procurement,Head of ICT,4/28/23,1,5,5,Moderate,Standard internal controls in place,Very Strong,0.9,0.5,Low,Avoid,1/16/25,Mitigated,44 incidents/month, dataset
ERM-0304,Customer Complaints, Risk related to customer complaints,Reputational Risk,HR,Operations Manager,10/10/25,2,4,8,Moderate,Standard internal controls in place,Very Strong,0.9,0.8,Low,Accept,2/18/24,Mitigated,13 incidents/month, dataset
ERM-0305,Reporting Non-compliance, Risk related to reporting non-compliance,Compliance Risk,Compliance,HR Manager,6/4/26,4,3,12,High,Standard internal controls in place,Strong,0.75,3,Low,Transfer,3/12/25,Under Review,19 incidents/month, dataset
ERM-0306,Reporting Non-compliance, Risk related to reporting non-compliance,Compliance Risk,ICT,Operations Manager,1/17/25,2,5,10,High,Standard internal controls in place,Very Strong,0.9,1,Low,Reduce,8/7/26,Closed,43 incidents/month, dataset
ERM-0307,Policy Misalignment, Risk related to policy misalignment,Strategic Risk,HR,Internal Auditor,6/18/26,3,2,6,Moderate,Standard internal controls in place,Moderate,0.5,3,Low,Transfer,5/9/24,Mitigated,25 incidents/month, dataset
ERM-0308,Liquidity Shortfall, Risk related to liquidity shortfall,Financial Risk,Procurement,Internal Auditor,10/7/23,4,2,8,Moderate,Standard internal controls in place,Weak,0.25,6,Moderate,Reduce,4/8/23,Closed,22 incidents/month, dataset
ERM-0309,Human Error, Risk related to human error,Operational Risk,Compliance,Operations Manager,9/19/25,2,3,6,Moderate,Standard internal controls in place,Very Strong,0.9,0.6,Low,Reduce,1/16/26,Mitigated,13 incidents/month, dataset
ERM-0310,Policy Misalignment, Risk related to policy misalignment,Strategic Risk,Finance,Head of ICT,9/25/26,4,4,16,Extreme,Standard internal controls in place,Weak,0.25,12,High,Transfer,12/13/23,Under Review,0 incidents/month, dataset
ERM-0311,Liquidity Shortfall, Risk related to liquidity shortfall,Financial Risk,Operations,Director Finance,3/29/25,5,2,10,High,Standard internal controls in place,Moderate,0.5,5,Moderate,Transfer,5/21/23,Closed,27 incidents/month, dataset
ERM-0312,Regulatory Breach, Risk related to regulatory breach,Compliance Risk,Procurement,HR Manager,7/21/25,4,3,12,High,Standard internal controls in place,Strong,0.75,3,Low,Avoid,2/20/26,Closed,44 incidents/month, dataset
ERM-0313,AML Violation, Risk related to aml violation,Compliance Risk,Operations,Head of ICT,9/17/25,2,3,6,Moderate,Standard internal controls in place,Very Strong,0.9,0.6,Low,Transfer,2/18/26,Closed,23 incidents/month, dataset
ERM-0314,System Hacking, Risk related to system hacking,Cyber Risk,Finance,Head of ICT,9/22/25,3,2,6,Moderate,Standard internal controls in place,Very Strong,0.9,0.6,Low,Reduce,5/1/23,Open,27 incidents/month, dataset
ERM-0315,Poor Strategic Decisions, Risk related to poor strategic decisions,Strategic Risk,HR,Director Finance,3/29/23,2,5,10,High,Standard internal controls in place,Weak,0.25,7.5,Moderate,Reduce,7/14/23,Under Review,42 incidents/month, dataset
ERM-0316,Poor Strategic Decisions, Risk related to poor strategic decisions,Strategic Risk,HR,Head of ICT,6/19/23,3,3,9,Moderate,Standard internal controls in place,Very Strong,0.9,0.9,Low,Transfer,6/26/23,Under Review,41 incidents/month, dataset
ERM-0317,Process Failure, Risk related to process failure,Operational Risk,Compliance,Internal Auditor,10/14/23,4,4,16,Extreme,Standard internal controls in place,Very Strong,0.9,1.6,Low,Avoid,2/19/26,Closed,46 incidents/month, dataset
ERM-0318,Supply Chain Disruption, Risk related to supply chain disruption,Operational Risk,HR,Head of ICT,11/26/23,4,1,4,Low,Standard internal controls in place,Weak,0.25,3,Low,Transfer,4/8/24,Closed,33 incidents/month, dataset
ERM-0319,Reporting Non-compliance, Risk related to reporting non-compliance,Compliance Risk,Operations,HR Manager,1/7/24,3,2,6,Moderate,Standard internal controls in place,Strong,0.75,1.5,Low,Transfer,11/24/24,Under Review,28 incidents/month, dataset
ERM-0320,Market Competition, Risk related to market competition,Strategic Risk,Compliance,Operations Manager,6/16/25,1,3,3,Low,Standard internal controls in place,Strong,0.75,0.75,Low,Transfer,6/28/24,Open,20 incidents/month, dataset
ERM-0321,AML Violation, Risk related to aml violation,Compliance Risk,HR,Director Finance,2/12/24,2,4,8,Moderate,Standard internal controls in place,Moderate,0.5,4,Low,Accept,12/14/25,Open,15 incidents/month, dataset
ERM-0322,Exchange Rate Volatility, Risk related to exchange rate volatility,Financial Risk,HR,Director Finance,8/31/24,5,1,5,Moderate,Standard internal controls in place,Very Strong,0.9,0.5,Low,Avoid,8/14/26,Open,48 incidents/month, dataset
ERM-0323,AML Violation, Risk related to aml violation,Compliance Risk,Procurement,Director Finance,9/21/23,3,3,9,Moderate,Standard internal controls in place,Weak,0.25,6.75,Moderate,Transfer,3/15/26,Closed,29 incidents/month, dataset
ERM-0324,Customer Complaints, Risk related to customer complaints,Reputational Risk,Compliance,Operations Manager,9/13/23,3,3,9,Moderate,Standard internal controls in place,Moderate,0.5,4.5,Moderate,Accept,9/1/23,Open,0 incidents/month, dataset
ERM-0325,Service Failure, Risk related to service failure,Reputational Risk,Operations,HR Manager,4/12/25,3,2,6,Moderate,Standard internal controls in place,Moderate,0.5,3,Low,Avoid,3/24/25,Mitigated,14 incidents/month, dataset
ERM-0326,Service Failure, Risk related to service failure,Reputational Risk,Compliance,HR Manager,3/14/23,1,3,3,Low,Standard internal controls in place,Weak,0.25,2.25,Low,Transfer,8/18/25,Open,25 incidents/month, dataset
ERM-0327,Data Breach, Risk related to data breach,Cyber Risk,ICT,Director Finance,12/18/23,5,1,5,Moderate,Standard internal controls in place,Moderate,0.5,2.5,Low,Reduce,10/26/25,Open,6 incidents/month, dataset
ERM-0328,Human Error, Risk related to human error,Operational Risk,Procurement,Internal Auditor,3/29/25,3,3,9,Moderate,Standard internal controls in place,Weak,0.25,6.75,Moderate,Avoid,7/9/26,Open,26 incidents/month, dataset
ERM-0329,Poor Strategic Decisions, Risk related to poor strategic decisions,Strategic Risk,Procurement,Operations Manager,1/24/24,5,4,20,Extreme,Standard internal controls in place,Strong,0.75,5,Moderate,Accept,1/25/26,Under Review,31 incidents/month, dataset
ERM-0330,System Hacking, Risk related to system hacking,Cyber Risk,Procurement,Director Finance,4/26/23,3,3,9,Moderate,Standard internal controls in place,Strong,0.75,2.25,Low,Accept,9/23/25,Open,22 incidents/month, dataset
ERM-0331,Negative Publicity, Risk related to negative publicity,Reputational Risk,ICT,HR Manager,5/17/26,2,5,10,High,Standard internal controls in place,Strong,0.75,2.5,Low,Reduce,11/26/25,Closed,46 incidents/month, dataset
ERM-0332,Credit Default Risk, Risk related to credit default Risk,Financial Risk,Strategy,Director Finance,9/4/25,3,2,6,Moderate,Standard internal controls in place,Strong,0.75,1.5,Low,Avoid,5/26/24,Closed,22 incidents/month, dataset
ERM-0333,Negative Publicity, Risk related to negative publicity,Reputational Risk,HR,Director Finance,10/7/24,1,4,4,Low,Standard internal controls in place,Moderate,0.5,2,Low,Avoid,11/27/23,Closed,2 incidents/month, dataset
ERM-0334,Human Error, Risk related to human error,Operational Risk,HR,Director Finance,4/12/25,2,4,8,Moderate,Standard internal controls in place,Weak,0.25,6,Moderate,Reduce,9/26/26,Open,37 incidents/month, dataset
ERM-0335,Customer Complaints, Risk related to customer complaints,Reputational Risk,Finance,HR Manager,1/21/24,2,3,6,Moderate,Standard internal controls in place,Moderate,0.5,3,Low,Reduce,6/3/25,Under Review,15 incidents/month, dataset
ERM-0336,Human Error, Risk related to human error,Operational Risk,Operations,Head of ICT,9/12/26,1,1,1,Low,Standard internal controls in place,Strong,0.75,0.25,Low,Accept,7/20/24,Mitigated,16 incidents/month, dataset
ERM-0337,Market Competition, Risk related to market competition,Strategic Risk,Compliance,Director Finance,5/24/25,2,4,8,Moderate,Standard internal controls in place,Weak,0.25,6,Moderate,Transfer,7/29/25,Closed,17 incidents/month, dataset
ERM-0338,Poor Strategic Decisions, Risk related to poor strategic decisions,Strategic Risk,Operations,Head of ICT,1/14/24,2,3,6,Moderate,Standard internal controls in place,Strong,0.75,1.5,Low,Transfer,9/4/24,Open,41 incidents/month, dataset
ERM-0339,Supply Chain Disruption, Risk related to supply chain disruption,Operational Risk,Procurement,Director Finance,3/18/23,3,4,12,High,Standard internal controls in place,Very Strong,0.9,1.2,Low,Reduce,5/10/26,Open,3 incidents/month, dataset
ERM-0340,Supply Chain Disruption, Risk related to supply chain disruption,Operational Risk,ICT,HR Manager,11/9/23,3,2,6,Moderate,Standard internal controls in place,Moderate,0.5,3,Low,Avoid,5/11/25,Under Review,15 incidents/month, dataset
ERM-0341,Reporting Non-compliance, Risk related to reporting non-compliance,Compliance Risk,Finance,Operations Manager,5/6/25,2,1,2,Low,Standard internal controls in place,Very Strong,0.9,0.2,Low,Accept,12/1/26,Mitigated,1 incidents/month, dataset
ERM-0342,Process Failure, Risk related to process failure,Operational Risk,Procurement,HR Manager,3/30/25,4,2,8,Moderate,Standard internal controls in place,Strong,0.75,2,Low,Transfer,10/13/24,Under Review,19 incidents/month, dataset
ERM-0343,Policy Misalignment, Risk related to policy misalignment,Strategic Risk,Internal Audit,Internal Auditor,11/25/26,1,4,4,Low,Standard internal controls in place,Weak,0.25,3,Low,Avoid,12/31/26,Closed,26 incidents/month, dataset
ERM-0344,Revenue Instability, Risk related to revenue instability,Financial Risk,Finance,Director Finance,3/13/25,4,4,16,Extreme,Standard internal controls in place,Weak,0.25,12,High,Reduce,9/20/23,Open,6 incidents/month, dataset
ERM-0345,Credit Default Risk, Risk related to credit default Risk,Financial Risk,HR,Internal Auditor,2/27/24,3,4,12,High,Standard internal controls in place,Very Strong,0.9,1.2,Low,Transfer,8/9/26,Open,45 incidents/month, dataset
ERM-0346,Customer Complaints, Risk related to customer complaints,Reputational Risk,Finance,Director Finance,6/27/26,3,3,9,Moderate,Standard internal controls in place,Very Strong,0.9,0.9,Low,Avoid,7/8/23,Open,32 incidents/month, dataset
ERM-0347,Policy Misalignment, Risk related to policy misalignment,Strategic Risk,HR,Director Finance,6/3/25,2,1,2,Low,Standard internal controls in place,Weak,0.25,1.5,Low,Reduce,1/15/25,Mitigated,36 incidents/month, dataset
ERM-0348,Reporting Non-compliance, Risk related to reporting non-compliance,Compliance Risk,Procurement,HR Manager,4/26/26,2,4,8,Moderate,Standard internal controls in place,Very Strong,0.9,0.8,Low,Accept,7/17/26,Open,19 incidents/month, dataset
ERM-0349,Process Failure, Risk related to process failure,Operational Risk,Compliance,HR Manager,11/24/23,2,4,8,Moderate,Standard internal controls in place,Very Strong,0.9,0.8,Low,Avoid,6/4/23,Closed,32 incidents/month, dataset
ERM-0350,Revenue Instability, Risk related to revenue instability,Financial Risk,Internal Audit,Internal Auditor,6/9/25,1,3,3,Low,Standard internal controls in place,Very Strong,0.9,0.3,Low,Reduce,8/17/23,Mitigated,44 incidents/month, dataset
ERM-0351,Negative Publicity, Risk related to negative publicity,Reputational Risk,ICT,Director Finance,12/11/23,4,4,16,Extreme,Standard internal controls in place,Weak,0.25,12,High,Accept,4/30/26,Mitigated,22 incidents/month, dataset
ERM-0352,Process Failure, Risk related to process failure,Operational Risk,Internal Audit,Director Finance,4/12/25,4,5,20,Extreme,Standard internal controls in place,Weak,0.25,15,Extreme,Transfer,12/14/25,Open,10 incidents/month, dataset
ERM-0353,Human Error, Risk related to human error,Operational Risk,Compliance,Head of ICT,3/27/23,3,3,9,Moderate,Standard internal controls in place,Moderate,0.5,4.5,Moderate,Transfer,2/19/25,Closed,5 incidents/month, dataset
ERM-0354,System Hacking, Risk related to system hacking,Cyber Risk,Procurement,Director Finance,3/1/24,2,3,6,Moderate,Standard internal controls in place,Very Strong,0.9,0.6,Low,Avoid,4/10/23,Open,33 incidents/month, dataset
ERM-0355,Service Failure, Risk related to service failure,Reputational Risk,Internal Audit,Head of ICT,7/22/23,5,4,20,Extreme,Standard internal controls in place,Moderate,0.5,10,High,Avoid,4/3/26,Mitigated,1 incidents/month, dataset
ERM-0356,Regulatory Breach, Risk related to regulatory breach,Compliance Risk,ICT,Director Finance,11/6/24,2,4,8,Moderate,Standard internal controls in place,Weak,0.25,6,Moderate,Accept,2/22/26,Closed,1 incidents/month, dataset
ERM-0357,Customer Complaints, Risk related to customer complaints,Reputational Risk,ICT,Director Finance,6/23/24,2,3,6,Moderate,Standard internal controls in place,Weak,0.25,4.5,Moderate,Avoid,7/20/26,Mitigated,29 incidents/month, dataset
ERM-0358,Reporting Non-compliance, Risk related to reporting non-compliance,Compliance Risk,Internal Audit,Internal Auditor,1/30/26,2,2,4,Low,Standard internal controls in place,Very Strong,0.9,0.4,Low,Avoid,5/28/24,Closed,2 incidents/month, dataset
ERM-0359,Service Failure, Risk related to service failure,Reputational Risk,Strategy,Director Finance,3/28/24,5,4,20,Extreme,Standard internal controls in place,Weak,0.25,15,Extreme,Reduce,11/20/26,Mitigated,49 incidents/month, dataset
ERM-0360,System Hacking, Risk related to system hacking,Cyber Risk,Internal Audit,Head of ICT,3/14/24,4,4,16,Extreme,Standard internal controls in place,Strong,0.75,4,Low,Avoid,6/7/25,Open,48 incidents/month, dataset
ERM-0361,Phishing Attack, Risk related to phishing attack,Cyber Risk,Strategy,HR Manager,6/15/23,3,5,15,Extreme,Standard internal controls in place,Weak,0.25,11.25,High,Avoid,7/18/25,Closed,14 incidents/month, dataset
